V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241621,V243052
319520,1,1,1,5,1,1,1,1,1,4,3,3,3,4,3,3,4,4,1,1,1,100,0,100,100,15,1,1,1,1,1,5,5,5,5,4,1,1,1,3,2,6,5,2,2,1,SOA
320871,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,4,1,1,1,1,1,100,0,100,100,30,1,1,1,1,2,5,5,5,5,5,1,1,2,4,2,1,4,2,1,1,SOA
321471,3,2,1,5,1,2,2,5,2,1,5,5,5,2,5,1,5,3,2,2,2,0,85,0,100,15,5,5,5,5,5,2,1,2,1,2,2,1,1,2,4,4,1,2,1,1,SOA
322018,3,1,1,5,1,1,1,5,5,3,3,3,4,2,3,2,4,3,1,1,-8,70,0,70,60,25,3,3,3,3,2,5,5,5,5,4,2,1,1,2,2,6,3,2,1,2,SOA
325278,4,2,1,5,1,2,2,2,5,3,1,1,3,3,3,2,3,2,2,2,-9,40,70,15,30,70,5,4,2,4,2,1,2,2,2,3,1,1,1,3,3,4,2,2,1,2,SOA
325425,4,2,1,5,1,1,3,1,5,3,3,3,3,2,3,1,4,3,2,2,1,100,15,60,60,30,2,2,2,4,2,2,5,4,1,4,2,1,1,2,4,6,4,1,2,4,SOA
329798,2,1,1,1,1,1,3,1,5,2,3,2,2,1,3,1,2,2,1,1,1,50,50,50,50,50,3,3,3,3,3,3,3,3,3,3,2,1,1,2,5,1,2,1,6,2,SOA
330071,2,1,1,5,1,1,1,1,1,2,4,3,3,2,5,3,3,4,1,2,1,85,0,100,100,15,1,1,1,1,1,4,5,5,5,5,1,1,1,3,3,4,2,2,2,4,SOA
335788,2,1,1,5,1,1,2,5,5,4,5,4,4,1,4,2,4,5,1,1,1,85,50,85,70,60,4,2,2,2,2,5,5,5,5,5,1,2,1,5,4,6,1,2,2,2,SOA
337374,2,1,1,5,1,1,1,1,1,5,1,3,3,2,3,4,3,3,1,1,1,70,0,85,70,15,3,3,2,2,3,5,5,5,5,4,1,2,1,4,2,1,5,2,1,3,SOA
338097,4,1,1,1,1,1,1,1,1,3,5,5,4,1,4,1,5,4,2,2,2,100,0,60,70,15,1,1,1,2,1,5,5,5,5,2,1,1,1,3,4,4,2,2,2,3,SOA
339452,3,2,1,2,1,2,1,2,2,2,4,3,5,1,5,1,5,5,2,2,2,30,60,30,60,60,5,5,2,5,5,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,SOA
341794,2,1,1,5,1,2,1,2,2,2,4,4,4,1,4,1,4,4,2,2,2,30,70,15,15,85,5,5,4,4,4,3,2,2,3,3,1,1,2,4,4,1,2,2,1,4,SOA
343994,2,1,1,5,1,1,1,1,1,3,4,4,5,3,4,3,4,4,1,1,1,85,0,70,60,30,2,2,2,3,2,4,5,3,5,3,1,1,2,4,2,6,4,2,1,2,SOA
344332,3,1,1,5,1,1,1,1,1,3,2,2,2,3,2,3,3,3,1,2,1,70,15,70,70,15,3,3,2,3,2,4,5,5,5,4,1,2,2,3,2,6,4,1,2,2,SOA
347591,1,1,1,5,1,1,1,1,1,4,5,5,3,1,5,1,3,5,2,2,1,85,15,70,100,15,3,2,2,2,1,5,5,5,5,5,1,2,2,4,3,6,2,2,2,1,SOA
351012,2,2,1,5,1,2,2,5,5,5,5,3,3,1,5,3,3,4,2,2,2,50,70,50,40,70,4,4,4,4,4,5,4,4,5,4,2,1,1,2,4,1,1,1,1,4,SOA
352620,2,2,2,5,1,2,3,5,5,3,3,3,3,1,5,1,4,5,2,1,2,70,15,60,30,50,4,3,1,3,3,3,4,5,4,4,1,1,1,3,5,6,1,1,2,3,SOA
355622,3,1,1,5,1,1,1,1,1,4,2,1,2,4,2,4,2,4,1,1,1,75,0,80,60,20,4,3,3,2,4,5,5,5,5,5,2,1,1,4,2,4,4,1,1,2,SOA
359345,2,1,1,5,1,1,2,1,2,2,4,4,4,2,4,2,5,5,2,2,2,60,40,40,40,40,4,3,4,3,2,5,1,3,5,3,1,1,1,3,4,3,4,1,2,5,SOA
362901,1,2,1,5,1,2,1,5,2,1,5,5,5,1,5,1,4,3,2,2,2,15,100,15,15,85,5,5,5,5,4,1,1,1,2,1,1,1,1,3,1,3,2,2,1,4,SOA
370274,1,1,1,1,1,1,1,1,1,3,2,1,2,2,2,3,3,2,1,1,1,85,15,70,60,40,2,2,3,2,2,5,5,4,5,4,2,1,2,4,2,1,4,2,1,2,SOA
371197,2,2,1,5,1,2,1,2,2,3,4,3,3,2,3,4,3,2,1,2,-8,15,40,30,30,60,4,3,3,4,3,1,3,2,4,1,1,1,1,4,2,1,4,2,1,3,SOA
373244,2,1,1,5,1,2,1,5,1,2,2,5,3,1,4,2,5,4,2,2,2,50,70,50,50,50,4,5,4,5,4,2,3,5,1,1,1,1,1,3,4,1,2,2,4,3,SOA
373611,2,2,1,5,1,2,1,2,2,3,3,3,3,2,3,2,4,3,1,2,2,20,50,20,10,50,5,5,5,5,4,2,3,3,3,1,2,2,1,3,2,4,5,2,1,2,SOA
377798,2,2,1,5,1,2,1,2,2,1,3,4,3,1,4,1,4,4,2,2,2,0,100,0,15,85,5,5,5,5,4,1,1,1,2,1,2,1,1,4,4,1,3,1,1,3,SOA
382516,4,1,1,5,1,1,3,5,5,3,4,2,2,3,4,3,4,4,2,2,1,85,40,50,50,50,1,2,2,2,1,3,4,4,2,4,3,1,2,4,4,6,2,2,3,3,SOA
384581,1,2,1,2,1,2,1,2,2,2,4,3,3,1,3,2,3,3,2,2,2,15,85,15,30,40,5,5,5,5,2,2,2,3,1,3,2,1,1,3,3,4,4,1,1,2,SOA
386951,3,1,2,5,1,2,2,5,5,3,3,4,3,1,5,1,4,5,2,2,2,30,60,30,40,60,4,3,2,3,4,3,5,3,2,2,2,1,1,2,4,6,4,1,2,2,SOA
388898,3,2,1,5,1,2,2,5,2,2,3,3,3,2,3,4,3,3,2,2,2,40,70,30,50,50,5,4,4,4,3,2,3,3,3,3,2,2,1,4,3,6,2,2,6,3,SOA
389549,4,1,1,2,1,2,2,2,5,3,5,3,3,2,4,2,4,5,2,2,2,60,85,50,40,70,2,4,2,2,2,2,4,2,2,2,1,1,1,2,2,1,4,1,3,2,SOA
390979,4,2,1,5,1,2,2,5,5,3,4,3,2,1,3,1,4,4,2,2,1,40,85,0,70,40,4,3,5,5,4,4,4,4,4,4,2,1,1,2,4,4,2,1,1,2,SOA
392373,2,2,1,5,1,2,1,5,2,1,4,5,5,2,4,2,5,4,2,2,2,0,85,0,15,85,5,5,4,5,3,1,2,2,2,2,2,1,1,3,2,6,2,1,1,2,SOA
397289,2,1,1,5,1,1,1,5,5,1,1,1,1,1,1,2,1,1,1,1,1,100,0,100,85,15,1,1,1,1,2,5,5,5,5,5,2,1,2,4,4,3,2,2,1,1,SOA
